trait,target_island,target_island_name,source_island,source_island_name,n_island,phi_mean,phi_std,phi_per_ind_mean,phi_per_ind_std,n_repeats,rank_mean_phi_per_ind
thr_wing,4,Gjerøy,14,Lauvøya,688,-0.0444041769528754,0.0910704853602567,-6.454095487336545e-05,0.000132369891512,10,13
thr_wing,5,Hestmannøy,0,Nesøy,118,0.0318344745538219,0.0884854329050135,0.0002697836826595,0.0007498765500424,10,1
thr_wing,5,Hestmannøy,1,Myken,92,-0.024088332810586,0.0378422395308913,-0.0002618297044628,0.0004113286905531,10,14
thr_wing,5,Hestmannøy,2,Træna,286,0.0409314311307621,0.1413745283070298,0.0001431168920656,0.000494316532542,10,3
thr_wing,5,Hestmannøy,3,Selvær,191,0.0008034472823399,0.051444953607426,4.20653027403103e-06,0.0002693453068451,10,11
thr_wing,5,Hestmannøy,4,Gjerøy,553,0.0785547390388179,0.1072136764638306,0.0001420519693287,0.0001938764493016,10,4
thr_wing,5,Hestmannøy,6,Indre Kvarøy,349,0.0326525280441933,0.1083029537043598,9.356025227562563e-05,0.0003103236495826,10,6
thr_wing,5,Hestmannøy,7,Onøy og Lurøy,256,0.0640754286257505,0.1297393713679167,0.0002502946430693,0.0005067944194059,10,2
thr_wing,5,Hestmannøy,8,Lovund,151,-0.0043997497369501,0.0737606694110084,-2.91374154764913e-05,0.0004884812543775,10,13
thr_wing,5,Hestmannøy,9,Sleneset,160,0.0193897856749889,0.0486345391984014,0.0001211861604686,0.00030396586999,10,5
thr_wing,5,Hestmannøy,10,Aldra,173,0.0146383906461471,0.0368216651135412,8.461497483322063e-05,0.0002128419948759,10,7
thr_wing,5,Hestmannøy,11,Leka,581,0.0046981590642409,0.0716964762464441,8.08633229645605e-06,0.0001234018524035,10,10
thr_wing,5,Hestmannøy,12,Vega,397,0.0251420868126499,0.0607673301746932,6.333019348274537e-05,0.0001530663228581,10,8
thr_wing,5,Hestmannøy,13,Vikna,583,-0.0120282090308035,0.0963670618558687,-2.0631576382167315e-05,0.0001652951318282,10,12
thr_wing,5,Hestmannøy,14,Lauvøya,688,0.023813378410336,0.0701250788352887,3.461246861967449e-05,0.0001019259866791,10,9
thr_wing,6,Indre Kvarøy,0,Nesøy,118,-0.0310132992599741,0.0311179330411212,-0.0002628245699997,0.0002637112969586,10,14
thr_wing,6,Indre Kvarøy,1,Myken,92,-0.0239151515243111,0.0287740859486843,-0.0002599472991772,0.00031276180379,10,13
thr_wing,6,Indre Kvarøy,2,Træna,286,0.0214117999096299,0.0679113499255459,7.48664332504543e-05,0.0002374522724669,10,7
thr_wing,6,Indre Kvarøy,3,Selvær,191,0.0189445002371998,0.0668431057441644,9.918586511622964e-05,0.0003499639044197,10,5
thr_wing,6,Indre Kvarøy,4,Gjerøy,553,0.1433454124657364,0.1256860182101599,0.0002592141274244,0.0002272803222606,10,2
thr_wing,6,Indre Kvarøy,5,Hestmannøy,1055,0.0820043637038051,0.1061694768634423,7.772925469554996e-05,0.000100634575226,10,6
thr_wing,6,Indre Kvarøy,7,Onøy og Lurøy,256,0.0565412495124365,0.0599177097061717,0.0002208642559079,0.0002340535535397,10,3
thr_wing,6,Indre Kvarøy,8,Lovund,151,0.0880031600761079,0.0442412254183825,0.0005828023846099,0.0002929882478038,10,1
thr_wing,6,Indre Kvarøy,9,Sleneset,160,0.0014080228224837,0.0601198994146571,8.800142640523164e-06,0.0003757493713416,10,10
thr_wing,6,Indre Kvarøy,10,Aldra,173,0.0328302594274074,0.0953019236928602,0.0001897702857075,0.000550878171635,10,4
thr_wing,6,Indre Kvarøy,11,Leka,581,0.0102844845023878,0.0334903941807649,1.7701350262285527e-05,5.764267500992246e-05,10,9
thr_wing,6,Indre Kvarøy,12,Vega,397,-0.0305141675885064,0.0542616352931118,-7.686188309447471e-05,0.0001366791820985,10,12
thr_wing,6,Indre Kvarøy,13,Vikna,583,0.0156251714278068,0.0350917778381926,2.6801323203785387e-05,6.019172871045054e-05,10,8
thr_wing,6,Indre Kvarøy,14,Lauvøya,688,-0.0384536431453359,0.0479475716495954,-5.589192317636045e-05,6.969123786278402e-05,10,11
thr_wing,7,Onøy og Lurøy,0,Nesøy,118,-0.0152179266583219,0.0319786104371254,-0.0001289654801552,0.0002710051731959,10,14
thr_wing,7,Onøy og Lurøy,1,Myken,92,0.0199534145883584,0.058051697124735,0.0002168849411778,0.0006309967078775,10,5
thr_wing,7,Onøy og Lurøy,2,Træna,286,0.0502017285029753,0.0758088130483815,0.0001755305192411,0.0002650657798894,10,6
thr_wing,7,Onøy og Lurøy,3,Selvær,191,0.0496678702104696,0.0592299133307304,0.0002600412052904,0.000310104258276,10,3
thr_wing,7,Onøy og Lurøy,4,Gjerøy,553,0.0187558994751799,0.0455273460908278,3.391663557898724e-05,8.232793144815159e-05,10,8
