ringnr,island,score,rank
8732680,4,-4.092849394510267e-06,603
8N87941,13,-4.091975824849214e-06,604
8M71125,13,-4.0872232602851e-06,605
8939369,7,-4.086843091499759e-06,606
8N14690,13,-4.086627086508088e-06,607
8N87114,4,-4.083449312020093e-06,608
8917812,8,-4.077501216670498e-06,609
8M72326,3,-4.075488959642826e-06,610
8747805,6,-4.070114755450049e-06,611
8857609,9,-4.065710072609363e-06,612
8N73477,11,-4.063280812260928e-06,613
8681056,6,-4.0619033825350925e-06,614
8939746,5,-4.059626007801853e-06,615
8N87886,13,-4.054991222801618e-06,616
8N87905,13,-4.049555627716472e-06,617
8N87070,5,-4.0490222090738826e-06,618
8981096,11,-4.042159616801655e-06,619
8N42517,5,-4.0393897506874055e-06,620
8M71673,3,-4.038636234326987e-06,621
8939366,7,-4.035741767438594e-06,622
8981824,5,-4.03404146709363e-06,623
8732503,8,-4.03244121116586e-06,624
8P14993,14,-4.030051513836952e-06,625
8747865,9,-4.0257632463180926e-06,626
8L48410,5,-4.021275799459545e-06,627
8N06831,11,-4.018502750113839e-06,628
8L89298,10,-4.01738498112536e-06,629
8N05206,12,-4.015928880107822e-06,630
8N28818,5,-4.008493760920828e-06,631
8N87578,11,-4.006396920885891e-06,632
8M72016,2,-4.003818958153715e-06,633
8N27951,4,-4.002837613370502e-06,634
8P14075,5,-4.002450623374898e-06,635
8939151,4,-4.002177774964366e-06,636
8N42645,7,-3.994348844571505e-06,637
8168602,10,-3.993557129433611e-06,638
8943263,11,-3.9911092244437896e-06,639
8N72934,13,-3.990096502093365e-06,640
8747940,4,-3.988956450484693e-06,641
8N73982,12,-3.988162916357396e-06,642
8N28405,9,-3.968793407693738e-06,643
8N73724,14,-3.968731107306667e-06,644
8N05650,11,-3.968468718085205e-06,645
8L48742,11,-3.9672299863013905e-06,646
8168662,1,-3.965130417782348e-06,647
8747223,5,-3.964523784816265e-06,648
8N14984,6,-3.952203769586049e-06,649
8N73239,12,-3.95116285289987e-06,650
8N06560,4,-3.949009169446072e-06,651
8747740,6,-3.943481260648696e-06,652
8N14975,7,-3.934551841666689e-06,653
8N14645,13,-3.934039796149591e-06,654
8L64872,11,-3.932798335881671e-06,655
8681336,7,-3.932775143766776e-06,656
8N05875,11,-3.930515958927572e-06,657
8N73244,14,-3.928513706341619e-06,658
8N72066,2,-3.927346824639244e-06,659
8N05641,14,-3.9229639696714e-06,660
8N06492,12,-3.922306859749369e-06,661
8N13455,11,-3.90836430597119e-06,662
8732615,9,-3.903221568180015e-06,663
8N27581,5,-3.903164270013804e-06,664
8309254,5,-3.897538135788636e-06,665
8N27413,5,-3.897351234627422e-06,666
