source_island,target_island,source_island_name,target_island_name,geo_distance_km,phi_per_ind_mean,n_traits,phi_per_ind_1e4,shapley_sign
11,9,Leka,Sleneset,148.68973859730676,4.512990551527337e-05,3,0.45129905515273366,Positive
11,10,Leka,Aldra,161.08169347609504,1.720783182061234e-05,3,0.1720783182061234,Positive
11,12,Leka,Vega,65.07759475778198,2.29663276104504e-05,3,0.229663276104504,Positive
11,13,Leka,Vikna,34.85987552283562,7.607559634359482e-05,3,0.7607559634359482,Positive
11,14,Leka,Lauvøya,152.0544293116098,0.00010447851533965968,3,1.0447851533965968,Positive
12,0,Vega,Nesøy,107.2382528330402,4.776017782113893e-05,3,0.47760177821138927,Positive
12,1,Vega,Myken,125.23654512152534,-3.967947361581034e-05,3,-0.3967947361581034,Negative
12,2,Vega,Træna,93.83014047761338,2.4244050401306792e-05,3,0.24244050401306794,Positive
12,3,Vega,Selvær,104.39443539345504,-8.970118114233259e-05,3,-0.897011811423326,Negative
12,4,Vega,Gjerøy,117.69384186202014,-1.56109702206221e-05,3,-0.156109702206221,Negative
12,5,Vega,Hestmannøy,106.2900954679976,6.075592397564075e-05,3,0.6075592397564076,Positive
12,6,Vega,Indre Kvarøy,103.19039109510574,-7.917387206623205e-05,3,-0.7917387206623205,Negative
12,7,Vega,Onøy og Lurøy,93.77608063958276,-5.634177550816103e-05,3,-0.5634177550816103,Negative
12,8,Vega,Lovund,80.85793785329014,-1.9486636344327434e-05,3,-0.19486636344327435,Negative
12,9,Vega,Sleneset,84.1545356354321,-4.1844327807289235e-05,3,-0.41844327807289233,Negative
12,10,Vega,Aldra,98.35590063445129,-4.147135583530775e-06,3,-0.04147135583530775,Negative
12,11,Vega,Leka,65.07759475778198,-6.506504235454132e-05,3,-0.6506504235454131,Negative
12,13,Vega,Vikna,93.17635764242071,-4.820918550478369e-05,3,-0.4820918550478369,Negative
12,14,Vega,Lauvøya,213.80241739673264,0.00013911904306304883,3,1.3911904306304883,Positive
13,0,Vikna,Nesøy,199.79729199077198,2.127159692067724e-05,3,0.2127159692067724,Positive
13,1,Vikna,Myken,216.53801730892877,5.4824391665625776e-05,3,0.5482439166562577,Positive
13,2,Vikna,Træna,183.5702186335209,3.146263703867146e-05,3,0.3146263703867146,Positive
13,3,Vikna,Selvær,194.9532977258153,4.962492844393522e-05,3,0.49624928443935223,Positive
13,4,Vikna,Gjerøy,210.83863166091695,-4.710798690375728e-06,3,-0.047107986903757275,Negative
13,5,Vikna,Hestmannøy,199.3499655831265,-8.759550291008423e-06,3,-0.08759550291008424,Negative
13,6,Vikna,Indre Kvarøy,196.36631708257528,1.408327533974034e-06,3,0.014083275339740341,Positive
13,7,Vikna,Onøy og Lurøy,186.95208564615646,-4.178415018541108e-06,3,-0.04178415018541108,Negative
13,8,Vikna,Lovund,172.92091389543634,2.2972993336237138e-05,3,0.22972993336237138,Positive
13,9,Vikna,Sleneset,177.1365583196607,3.076563975579702e-05,3,0.3076563975579702,Positive
13,10,Vikna,Aldra,191.3741612522616,1.104176734378446e-05,3,0.1104176734378446,Positive
13,11,Vikna,Leka,34.85987552283562,0.0001699510225735,3,1.699510225735,Positive
13,12,Vikna,Vega,93.17635764242071,-3.463428945363395e-05,3,-0.3463428945363395,Negative
13,14,Vikna,Lauvøya,120.6269986777565,-1.253269105311345e-05,3,-0.1253269105311345,Negative
14,0,Lauvøya,Nesøy,320.11818234304565,5.852024301985852e-05,3,0.5852024301985852,Positive
14,1,Lauvøya,Myken,336.1969051410113,-1.5278599900670763e-05,3,-0.15278599900670764,Negative
14,2,Lauvøya,Træna,302.7617332650209,-9.110626973919025e-06,3,-0.09110626973919025,Negative
14,3,Lauvøya,Selvær,314.3929669088815,1.0793747061385525e-07,3,0.0010793747061385525,Positive
14,4,Lauvøya,Gjerøy,331.4408247553052,-4.919793955164279e-05,3,-0.4919793955164279,Negative
14,5,Lauvøya,Hestmannøy,319.9091343034955,-3.1469948904047236e-05,3,-0.31469948904047235,Negative
14,6,Lauvøya,Indre Kvarøy,316.9908133537998,-5.7887652396557285e-05,3,-0.5788765239655729,Negative
14,7,Lauvøya,Onøy og Lurøy,307.5784894864828,-1.6498574070459467e-07,3,-0.0016498574070459467,Negative
14,8,Lauvøya,Lovund,293.1072145452544,-2.0291686377491986e-05,3,-0.20291686377491985,Negative
14,9,Lauvøya,Sleneset,297.6721376741345,6.231663882560097e-06,3,0.06231663882560097,Positive
14,10,Lauvøya,Aldra,311.9538045293238,1.875739144417725e-05,3,0.1875739144417725,Positive
14,11,Lauvøya,Leka,152.0544293116098,0.00014075328751703335,3,1.4075328751703335,Positive
14,12,Lauvøya,Vega,213.80241739673264,9.521218041890664e-05,3,0.9521218041890664,Positive
14,13,Lauvøya,Vikna,120.6269986777565,4.478309665054103e-05,3,0.4478309665054103,Positive
