target_island,target_island_name,repeat,repeat_seed,trait,model,weight_scheme,order_seed,weighted_fit_used,analysis,method,n_individuals,corr_eval,mse_adj
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,0,False,ranked_subset,random_individual,250,0.0876226711859679,1.324110507965088
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,0,False,ranked_subset,random_individual,500,0.1769591708309954,1.3024673461914062
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,0,False,ranked_subset,random_individual,1000,0.1999435016091377,1.3243756294250488
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,0,False,ranked_subset,random_individual,1500,0.0975518288765455,1.3208609819412231
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,0,False,ranked_subset,random_individual,2000,0.1008832347484955,1.3415303230285645
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,0,False,ranked_subset,random_individual,2500,0.1620045053931146,1.3244820833206177
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,0,False,ranked_subset,random_individual,3000,0.1262470380380159,1.319519281387329
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,0,False,ranked_subset,random_individual,3500,0.1333806487530008,1.3211562633514404
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,0,False,ranked_subset,random_individual,4000,0.1434717450621399,1.320366621017456
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,0,False,ranked_subset,random_individual,4500,0.110119568509697,1.3274805545806885
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,1,False,ranked_subset,random_individual,50,0.1557327843310007,1.351878643035889
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,1,False,ranked_subset,random_individual,100,0.1401414252133881,1.3649345636367798
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,1,False,ranked_subset,random_individual,250,0.0410906266476837,1.335516095161438
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,1,False,ranked_subset,random_individual,500,-0.0204748949039028,1.3319741487503052
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,1,False,ranked_subset,random_individual,1000,0.0679414219636758,1.339699387550354
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,1,False,ranked_subset,random_individual,1500,0.1407010409259959,1.328141212463379
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,1,False,ranked_subset,random_individual,2000,0.1583898403070567,1.326508641242981
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,1,False,ranked_subset,random_individual,2500,0.1483602123364312,1.3254202604293823
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,1,False,ranked_subset,random_individual,3000,0.2023876828702537,1.315746784210205
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,1,False,ranked_subset,random_individual,3500,0.1787420617380311,1.3306505680084229
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,1,False,ranked_subset,random_individual,4000,0.1397623423434645,1.3484033346176147
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,1,False,ranked_subset,random_individual,4500,0.149675573678621,1.3386869430541992
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,2,False,ranked_subset,random_individual,50,0.1084413388712139,1.308996081352234
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,2,False,ranked_subset,random_individual,100,0.1748357878480761,1.3589282035827637
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,2,False,ranked_subset,random_individual,250,0.2717990449452694,1.3545496463775637
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,2,False,ranked_subset,random_individual,500,0.2365910303869617,1.326637864112854
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,2,False,ranked_subset,random_individual,1000,0.2003139825435814,1.324378252029419
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,2,False,ranked_subset,random_individual,1500,0.23348005451245,1.3163864612579346
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,2,False,ranked_subset,random_individual,2000,0.1992461721092968,1.311068415641785
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,2,False,ranked_subset,random_individual,2500,0.2428950645945061,1.291778564453125
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,2,False,ranked_subset,random_individual,3000,0.2252123628549459,1.278902292251587
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,2,False,ranked_subset,random_individual,3500,0.2362354598641109,1.2835510969161987
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,2,False,ranked_subset,random_individual,4000,0.2145365224732531,1.2864326238632202
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,2,False,ranked_subset,random_individual,4500,0.2010843294769488,1.2914596796035769
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,3,False,ranked_subset,random_individual,50,-0.0187364239362257,1.304765224456787
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,3,False,ranked_subset,random_individual,100,-0.1005301466908605,1.3314955234527588
